index,Output,Input
157,"Alright, Morty, whoever you smear this stuff on will fall in love with you, and only you, forever. Ya happy now, Morty?","Oww! A hair, Morty, I need one of your hairs! This isn't Game Of Thrones. Oh well, okay... It's a, it's a rodent that mates for life, Morty. This is the chemical release in the mammal's brain,  ...that makes it fall in love. Alright Morty, I just gotta  combine it with some of your DNA. You're growing up fast, Morty. You're growing into a real big thorn straight up into my ass!  Listen, this is called oxytocin. I extracted it from a vole. You know what a VOLE is, Morty, you know what a vole is? YOU KNOW WHAT, NO RICK! I'M NOT GONNA HAND YOU THE SCREWDRIVER! Uh, I'm never gonna hand you anything ever again, Rick.  I'm always helping you with this and that and the other thing. Www...what about me, Rick? Www... why can't you just help me out once, once, for once? "
158,"Www.. what am I, a hack?! Go nuts, Morty, it's full proof.","Heck yeah! Thank you, Grandpa Rick!  Hey there's no dangers or anything or side effects, right? Alright, Morty, whoever you smear this stuff on will fall in love with you, and only you, forever. Ya happy now, Morty? Oww! A hair, Morty, I need one of your hairs! This isn't Game Of Thrones. Oh well, okay... It's a, it's a rodent that mates for life, Morty. This is the chemical release in the mammal's brain,  ...that makes it fall in love. Alright Morty, I just gotta  combine it with some of your DNA. "
159,"Ugh, unless she has the flu.","Www.. what am I, a hack?! Go nuts, Morty, it's full proof. Heck yeah! Thank you, Grandpa Rick!  Hey there's no dangers or anything or side effects, right? Alright, Morty, whoever you smear this stuff on will fall in love with you, and only you, forever. Ya happy now, Morty? Oww! A hair, Morty, I need one of your hairs! This isn't Game Of Thrones. Oh well, okay... "
160,Who cares about the  thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing.,"A competent one. What? What kind of monster are you? You have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick? It's not my fault we froze time on a humid day! Then you've been doing it wrong for six months. Oh, my God, is that mildew? I know how to vacuum Mom and Dad, Summer, I've been doing it for six months! "
161,"Alright, listen, you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize.","Who cares about the  thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing. A competent one. What? What kind of monster are you? You have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick? It's not my fault we froze time on a humid day! Then you've been doing it wrong for six months. Oh, my God, is that mildew? "
162,"It means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards.","Our time is gonna be unstable? What does that even mean? Alright, listen, you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize. Who cares about the  thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing. A competent one. What? What kind of monster are you? You have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick? "
163,And away we go!,"Wait a minute, what? It means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards. Our time is gonna be unstable? What does that even mean? Alright, listen, you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize. Who cares about the  thing you guys are talking about? The whole point of freezing time is to stop giving a fuck. Put a shirt on your dumb dad and let's get this dumb universe rolling. Let's do this thing. A competent one. "
164,"Shhh, Morty!","Uh, did we ever put that mattress under Mr. Benson? And away we go! Wait a minute, what? It means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards. Our time is gonna be unstable? What does that even mean? Alright, listen, you two, we froze time for a pretty long time, so when I unfreeze it, the world's time is gonna be fine, but our time's gonna need a little time to, you know, stabilize. "
165,"Negative visualization, Jerry. It explains a lot about where you're at. Hi, sweety.","...A THING OR TWO ABOUT... wait, what? Was the house...? When we pulled up I could have sworn the house was completely trashed. Shhh, Morty! Uh, did we ever put that mattress under Mr. Benson? And away we go! Wait a minute, what? It means relax and stop being a pussy, Morty. I thought you learned that by now. It also means don't touch your parents or we could shatter into countless theoretical shards. "
166,"Yeah it would literally destroy them. Now listen, why do—why do—why—why don't you guys go get a free sunday ice cream,  go out there and get some ice creams. Here's five hundred dollars cash in unmarked moneys. I'm just gonna put it on the floor and uh, kick it on over to ya. You guys go nuts.","Yeah, we missed you so much. Too much to hug you though. W-We just missed you a lot. Summer, Morty, are you okay? Hi, dad. Negative visualization, Jerry. It explains a lot about where you're at. Hi, sweety. ...A THING OR TWO ABOUT... wait, what? Was the house...? When we pulled up I could have sworn the house was completely trashed. "
167,Uh oh.,"Oh! Sweety, is your shirt on backwards? This better not be a bribe. If I find a single thing out of place in this house, my love of ice cream won't save you. I'll get my jacket. Yeah it would literally destroy them. Now listen, why do—why do—why—why don't you guys go get a free sunday ice cream,  go out there and get some ice creams. Here's five hundred dollars cash in unmarked moneys. I'm just gonna put it on the floor and uh, kick it on over to ya. You guys go nuts. Yeah, we missed you so much. Too much to hug you though. W-We just missed you a lot. "
168,"Man that guy is the Red Grin Grumble to pretending he knows what's going on.  Oh you agree, huh?  You like that Red Grin Grumble reference?  Well guess what? I made him up. You really are your father's children. Think for yourselves, don't be sheep.","Phew... Yeah, I like it this way. I'm not stupid. Uh oh. Oh! Sweety, is your shirt on backwards? This better not be a bribe. If I find a single thing out of place in this house, my love of ice cream won't save you. I'll get my jacket. "
169,"Yup, it really makes you appreciate how fickle the universe can be.   One minute you're falling off a roof for six months, the next minute, bam!","God, I feel terrible. Man that guy is the Red Grin Grumble to pretending he knows what's going on.  Oh you agree, huh?  You like that Red Grin Grumble reference?  Well guess what? I made him up. You really are your father's children. Think for yourselves, don't be sheep. Phew... Yeah, I like it this way. I'm not stupid. Uh oh. Oh! "
170,"Actually, sorry Summer, I gotta back the M bomb on this one. I remember the conversation. We told Morty to replace all the bank's money with cookies, your job was to put the mattress under Mr. Benson.","Yeah huh! Nuh uh! Uh, what? It was your job, Morty. Uh, just to be clear, it was Summer's job to put the mattress under- Yup, it really makes you appreciate how fickle the universe can be.   One minute you're falling off a roof for six months, the next minute, bam! God, I feel terrible. "
171,Whoa whoa wh-what the hell hell hell hell hell?,"You shut up! What's yours? You didn't what? I didn't! You shut up you big... female asshole! Shut up Morty, you vindictive little turd! "
172,Were either of you guys uncertain about anything just now?,"Wait, what am I saying? What do you mean? Oh God, oh no, what did you guys just do? Whoa whoa wh-what the hell hell hell hell hell? You shut up! What's yours? "
173,"Huh, what do you know, it's working","Whatever you're asking, the answer is I'm amazing. And away we go! Alright, since this time crystal exists in both possibilities, and since it's impossible that I didn't nail this, I'm probably about to press this button in both possibilities at exactly the same time. We “isn't” Or? Or... Look, there's no time to hold me accountable, Morty. Like literally no time. Look around. Uncertainty is inherently unsustainable. Eventually everything either is or isn't. And we've got about four hours to be “is”. "
174,Oh shit.,"Whoa, ow, ow. Ow, ow ouch! Huh, what do you know, it's working Whatever you're asking, the answer is I'm amazing. And away we go! Alright, since this time crystal exists in both possibilities, and since it's impossible that I didn't nail this, I'm probably about to press this button in both possibilities at exactly the same time. We “isn't” "
